video_id,generator,mllm,batch_date,verdict,confidence,1.1_texture__detected,1.1_texture__severity,1.1_texture__evidence,1.2_boundary__detected,1.2_boundary__severity,1.2_boundary__evidence,1.3_lighting__detected,1.3_lighting__severity,1.3_lighting__evidence,1.4_watermark__detected,1.4_watermark__severity,1.4_watermark__evidence,2.1_human_anatomy__detected,2.1_human_anatomy__severity,2.1_human_anatomy__evidence,2.2_non_human_anatomy__detected,2.2_non_human_anatomy__severity,2.2_non_human_anatomy__evidence,2.3_object_structural__detected,2.3_object_structural__severity,2.3_object_structural__evidence,2.4_scene_composition__detected,2.4_scene_composition__severity,2.4_scene_composition__evidence,3.1_motion__detected,3.1_motion__severity,3.1_motion__evidence,3.2_identity_drift__detected,3.2_identity_drift__severity,3.2_identity_drift__evidence,3.3_continuity__detected,3.3_continuity__severity,3.3_continuity__evidence,3.4_causality__detected,3.4_causality__severity,3.4_causality__evidence,most_diagnostic_artefact,notes,review_flag
w2_011_ltx_20260719_110026,LTX,Qwen_3.5,2026-08-01,Real,92,FALSE,none,Natural skin texture and fabric details visible; no waxy or plastic appearance.,FALSE,none,Sharp edges on subjects and background objects; no haloing or bleeding.,FALSE,none,Consistent outdoor lighting with natural shadows cast by subjects and vehicles.,FALSE,none,"No visible watermarks, logos, or synthetic noise patterns.",FALSE,none,"All subjects display correct limb counts, facial proportions, and hand structures.",FALSE,none,no non-human subjects present,FALSE,none,Vehicles and street infrastructure maintain correct geometry and scale.,FALSE,none,Perspective and spatial arrangement of street scene are physically consistent.,FALSE,none,Walking gait and vehicle movement appear natural with correct physics.,FALSE,none,Subject identities and clothing patterns remain stable throughout the clip.,FALSE,none,No objects appear or disappear; background motion is consistent with camera movement.,FALSE,none,Physical interactions and movements follow standard cause-and-effect logic.,no strong artefacts observed,"The video exhibits natural motion blur, consistent lighting, and realistic human movement typical of handheld camera footage.",
w2_012_ltx_20260719_110054,LTX,Qwen_3.5,2026-08-01,AI-generated,92,TRUE,M,"0:00 - 0:02, background shelves and objects appear as indistinct, waxy blobs lacking fine detail or texture definition.",TRUE,H,"0:00 - 0:02, severe haloing and bleeding around the subjects, particularly the man in the light blue shirt on the right, whose edges dissolve into the background.",TRUE,M,"0:00 - 0:02, lighting is globally flat and inconsistent; shadows do not align with the apparent light sources, and the room has a muddy, non-physical illumination.",FALSE,none,No visible watermarks or logos detected.,TRUE,H,"0:00 - 0:02, faces are heavily distorted and lack distinct features (eyes, noses, mouths); the man on the right has a smeared, shifting facial structure.",FALSE,none,No non-human subjects present.,TRUE,H,"0:00 - 0:02, tableware and food items are unrecognizable, merging into each other as amorphous shapes rather than distinct objects.",TRUE,M,"0:00 - 0:02, spatial arrangement is illogical; chairs and people seem to float or merge with the table surface without clear support.",TRUE,H,"0:00 - 0:02, extreme jitter and warping of stationary objects; the background shelves and people's heads wobble unnaturally.",TRUE,H,"0:00 - 0:02, the man's face on the right changes shape and position significantly between frames, indicating identity instability.",TRUE,M,"0:00 - 0:02, objects on the table appear and disappear or change form abruptly between frames without physical cause.",TRUE,M,"0:00 - 0:02, people's movements do not correspond to realistic interaction with objects; hands pass through or merge with items on the table.",Severe facial distortion and boundary bleeding around human subjects combined with non-rigid motion of static background elements.,"The video exhibits classic text-to-video failure modes including temporal instability, anatomical incoherence, and object merging, consistent with early generative video models.",
w2_013_ltx_20260719_110122,LTX,Qwen_3.5,2026-08-01,AI-generated,95,TRUE,M,"0:00 - Skin on all subjects appears overly smooth and waxy, lacking natural pores or fine detail, particularly visible on the man in the blue jacket on the left.",TRUE,H,"0:01 - Severe haloing and edge bleeding around the subjects, especially where the man in the red sweater meets the background wall; edges appear to shimmer and dissolve.",TRUE,M,0:00 - Reflections on the glossy table surface do not match the positions of the people or the overhead lights; shadows under the chairs are inconsistent with the light source direction.,FALSE,none,No visible watermarks or logos present.,TRUE,H,0:01 - The man in the red sweater has a distorted face with merged features; the man on the far left has hands that appear fused together or missing distinct fingers while gesturing.,FALSE,none,No non-human subjects present.,TRUE,H,"0:00 - The whiteboard text is illegible gibberish scribbles; the window frame in the background has warped, non-rectilinear geometry.",TRUE,M,"0:02 - The table in the foreground has an impossible, melting shape that defies standard furniture design; chairs merge into the floor.",TRUE,H,"0:00-0:02 - The entire scene exhibits a constant, fluid 'warping' motion where static objects like the walls and whiteboard breathe and shift;人物 movements are jerky and unnatural.",TRUE,M,0:01 - The facial features of the person in the red sweater shift and morph slightly between frames; the pattern on the blue jacket changes texture.,TRUE,H,0:00-0:02 - Objects on the table appear to phase in and out of existence or change shape spontaneously; the reflection in the table does not maintain continuity with the objects above it.,TRUE,M,0:01 - Hand gestures do not result in logical interaction with objects; the person in red appears to touch their face but the hand passes through or merges with the head.,"Severe structural distortion of the scene geometry and human anatomy, including melting tables and fused hands, combined with constant temporal warping of static background elements.","The video exhibits classic generative video failure modes including gibberish text, morphing faces, and non-rigid motion of rigid objects.",
w2_014_ltx_20260719_110151,LTX,Qwen_3.5,2026-08-01,AI-generated,95,TRUE,M,"At 0:01, the grass texture appears overly smooth and painterly, lacking individual blade definition, particularly in the foreground.",TRUE,H,"At 0:02, the rear wheel of the left bicycle dissolves into the grass, and the rider's legs merge with the bike frame without clear edges.",TRUE,M,"At 0:00, shadows under the bicycles are inconsistent; the left bike casts a shadow that does not align with the light source direction suggested by the trees.",FALSE,none,No visible watermarks or logos present.,TRUE,H,"At 0:01, the left rider's right leg appears to pass through the bicycle frame, and the foot placement on the pedal is anatomically impossible.",FALSE,none,No non-human subjects present.,TRUE,H,"At 0:02, the bicycle frames distort and warp as the riders move, with handlebars and wheels changing shape unnaturally.",TRUE,M,"At 0:00, the perspective of the path in the background does not align with the foreground grass, creating a spatial disconnect.",TRUE,H,"Throughout 0:00-0:02, the bicycles exhibit non-rigid motion, with wheels wobbling and frames bending as if made of rubber.",TRUE,M,"At 0:01 to 0:02, the pattern on the right rider's shirt shifts and changes color slightly between frames.",TRUE,M,"At 0:02, the left rider's position relative to the handlebars jumps abruptly, suggesting a continuity error in motion.",TRUE,H,"At 0:01, the left rider's leg passes through the solid bicycle frame, violating physical causality and object solidity.","The left rider's leg passing through the bicycle frame at 0:01, violating physical causality and object solidity.","Multiple severe structural and temporal artefacts indicate AI generation, particularly the impossible interactions between riders and bicycles.",
w2_015_ltx_20260719_110219,LTX,Qwen_3.5,2026-08-01,AI-generated,92,TRUE,M,"0:00 - 0:02: The ground cover (leaves and dirt) exhibits a repetitive, smudged texture lacking individual leaf definition, characteristic of generative fill.",TRUE,M,0:00 - 0:02: The edges of the bench legs blend softly into the ground without clear contact shadows or distinct boundaries.,FALSE,none,Lighting appears consistent with an overcast day; no obvious directional conflicts observed.,FALSE,none,No visible watermarks or logos present in the frame.,TRUE,H,"0:00 - 0:02: The person on the right has a distorted upper body structure; the arm appears to merge directly into the torso without a defined shoulder joint, and the hand holding the bag is indistinct.",FALSE,none,No non-human subjects present.,TRUE,H,"0:00 - 0:02: The wooden bench lacks structural logic; the seat planks appear to warp and merge into the legs, and the rightmost leg seems to dissolve into the leaf litter.",TRUE,M,"0:00 - 0:02: The background building windows show irregular, non-rectangular shapes that do not align with standard architectural perspective.",TRUE,L,"0:00 - 0:02: Subtle shimmering and warping in the tree foliage and background grass, indicating temporal instability.",FALSE,none,Subject identities and clothing patterns remain stable throughout the short clip.,FALSE,none,No objects appear or disappear; scene remains continuous.,FALSE,none,No physics violations observed in the static sitting pose.,The structural failure of the bench legs merging into the ground and the distorted anatomy of the person on the right are definitive markers of AI generation.,The video displays classic text-to-video artifacts including texture smearing on the ground and structural incoherence in man-made objects.,
w2_016_ltx_20260719_110247,LTX,Qwen_3.5,2026-08-01,Real,85,FALSE,none,Grass texture shows natural variation and noise consistent with real camera footage; no waxy or plastic appearance.,FALSE,none,"Object edges are defined by motion blur typical of high-speed tracking shots, not synthesis halos or bleeding.",FALSE,none,Lighting is consistent with outdoor stadium conditions; shadows and highlights on the ball match the environment.,FALSE,none,"No visible watermarks, logos, or synthetic noise patterns detected in the pixel data.",FALSE,none,"Human figures in the background are distant and blurry due to depth of field, but show no obvious anatomical distortions.",FALSE,none,No non-human subjects present.,FALSE,none,The soccer ball maintains correct spherical topology and panel structure throughout the rotation.,FALSE,none,Perspective and spatial arrangement of the field lines and players are physically plausible.,FALSE,none,Ball trajectory and rolling physics appear natural; motion blur is consistent with camera movement.,FALSE,none,The ball's pattern remains consistent as it rotates; no texture morphing observed.,FALSE,none,No objects appear or disappear unexpectedly; scene continuity is maintained.,FALSE,none,Physics of the ball bouncing and rolling on grass adhere to real-world causality.,no strong artefacts observed,"The video exhibits characteristics of a real camera recording, including natural motion blur, consistent lighting, and physically accurate object dynamics.",
w2_017_ltx_20260719_110316,LTX,Qwen_3.5,2026-08-01,Real,85,FALSE,none,No texture defects observed; natural grain and blur consistent with low-light video capture.,FALSE,none,"Edges are soft due to motion blur and low resolution, but no AI-style haloing or dissolution detected.",FALSE,none,Lighting is consistent with a sunset scene; reflections on water and wet sand appear physically accurate.,FALSE,none,"No visible watermarks, logos, or synthetic noise patterns detected.",FALSE,none,Subject is silhouetted and distant; no anatomical distortions visible despite low detail.,FALSE,none,no non-human subjects present,FALSE,none,Waves and shoreline maintain structural integrity; no impossible geometries observed.,FALSE,none,"Perspective and spatial arrangement of beach, ocean, and horizon are natural and consistent.",FALSE,none,Motion blur is consistent with camera panning and subject movement; no jitter or non-rigid motion artifacts.,FALSE,none,Subject appearance remains consistent throughout the short clip; no morphing or pattern shifting.,FALSE,none,Wave motion and subject movement are continuous; no sudden appearances or disappearances.,FALSE,none,Physics of water and running motion appear natural; no causality violations observed.,no strong artefacts observed,"The video exhibits characteristics of a genuine low-resolution recording, including natural motion blur and sensor noise, with no indicators of generative synthesis.",
w2_018_ltx_20260719_110344,LTX,Qwen_3.5,2026-08-01,Real,92,FALSE,none,no texture defects; natural grain and motion blur consistent with real camera capture,FALSE,none,"edges are sharp where in focus, soft only due to motion blur — physically plausible",FALSE,none,lighting is consistent with overcast daylight; shadows match subject position and movement,FALSE,none,"no watermarks, logos, or synthetic noise patterns visible",FALSE,none,skater’s body proportions and limb positions are anatomically correct throughout motion,FALSE,none,no non-human subjects present,FALSE,none,skateboard and ramp structures maintain consistent geometry and scale,FALSE,none,spatial layout of skatepark elements is coherent and perspective-consistent,FALSE,none,motion blur and acceleration are physically accurate for skateboarding dynamics,FALSE,none,"clothing, skin tone, and object colors remain stable across frames",FALSE,none,no objects appear/disappear unexpectedly; background motion matches foreground parallax,FALSE,none,"physics of jump, landing, and board control follow real-world mechanics",no strong artefacts observed,"Video exhibits natural motion blur, consistent lighting, and physically plausible skateboarding dynamics — all indicative of real-world capture.",
w2_019_ltx_20260719_110413,LTX,Qwen_3.5,2026-08-01,Uncertain,45,FALSE,none,No distinct textures visible due to heavy motion blur and low resolution; water surface lacks specific detail but this is consistent with camera shake.,FALSE,none,No distinct object boundaries to evaluate; edges are blurred by motion.,FALSE,none,"Lighting appears consistent with an outdoor water scene, though low contrast prevents detailed analysis.",FALSE,none,"No visible watermarks, logos, or overlay text detected in any frame.",FALSE,none,No human subjects present in the video.,FALSE,none,No non-human subjects present.,FALSE,none,No distinct mechanical objects or text visible to evaluate for structural integrity.,FALSE,none,Scene is a close-up of water; no spatial arrangement anomalies detected.,FALSE,none,"Motion is chaotic and blurry, consistent with a handheld camera moving over water; no specific non-rigid motion of rigid objects observed.",FALSE,none,No persistent objects or identities to track for drift.,FALSE,none,No objects appearing or disappearing inexplicably; flow of water appears continuous.,FALSE,none,Water movement follows expected fluid dynamics; no physics violations observed.,no strong artefacts observed,"The video quality is extremely low with significant motion blur, making definitive analysis difficult. The content resembles real footage of water taken with a shaky camera or low-quality sensor, but the lack of detail prevents high-confidence verification.",
w2_020_ltx_20260719_110441,LTX,Qwen_3.5,2026-08-01,Real,92,FALSE,none,Clay court texture exhibits natural granular variation and wear patterns consistent with real footage; no waxy or repetitive artifacts observed.,FALSE,none,"Object edges (ball, lines, player legs) show natural motion blur and optical softness typical of handheld camera capture, not AI haloing or dissolution.",FALSE,none,Lighting is consistent with indoor stadium illumination; shadows and highlights behave physically across frames.,FALSE,none,"No visible watermarks, logos, or synthetic noise patterns; background signage shows partial text but no generator branding.",FALSE,none,Only lower legs and feet of a person are visible; no anatomical distortions or impossible joint angles observed in limited view.,FALSE,none,no non-human subjects present,FALSE,none,Tennis ball and court lines maintain correct scale and topology; no gibberish text or distorted objects detected.,FALSE,none,"Perspective and spatial layout of court, net, and spectator area are physically plausible and consistent with real tennis venue.",FALSE,none,Ball trajectory and bounce follow expected physics; camera pan and object motion exhibit natural acceleration and deceleration.,FALSE,none,"Ball maintains consistent size, color, and shape throughout flight; no morphing or pattern shifting observed.",FALSE,none,No objects appear or disappear unexpectedly; lighting and background remain stable across shot duration.,FALSE,none,Ball bounce and roll obey gravity and momentum; no causality violations such as reverse motion or matter conservation errors.,no strong artefacts observed,"Video displays natural motion blur, realistic clay texture, and physically accurate ball dynamics consistent with authentic handheld sports footage.",
w2_021_ltx_20260719_110510,LTX,Qwen_3.5,2026-08-01,AI-generated,95,TRUE,H,"At 0:00, the books on the shelves appear as indistinct, waxy vertical smears rather than individual objects with spines; the pavement texture is unnaturally smooth and repetitive.",TRUE,H,"At 0:01, the edges of the bookshelf unit on the right dissolve into the background; the awning on the right has a soft, melting boundary with no clear structural support.",TRUE,M,"At 0:02, the shadows under the awning do not correspond to the light source illuminating the street; the interior of the shop is brightly lit but casts no light onto the sidewalk.",FALSE,none,No visible watermarks or logos present.,TRUE,H,"At 0:01, the walking figure has no discernible legs or feet; the lower body merges into a dark, shapeless blob that slides across the ground.",FALSE,none,No non-human subjects present.,TRUE,H,"At 0:00, the text on the green sign above the shop is complete gibberish, consisting of repetitive, non-linguistic squiggles; the book spines are illegible blobs.",TRUE,M,"At 0:02, the perspective of the bookshelf on the left is inconsistent with the building facade; objects seem to float without logical placement.",TRUE,H,"Throughout 0:00-0:02, the human figure exhibits severe foot sliding, moving forward without any leg articulation; the camera movement causes the entire scene to warp and ripple.",TRUE,M,"At 0:01, the pattern on the books in the central shelf shifts and morphs as the camera moves, indicating texture instability.",TRUE,M,"At 0:02, the shape of the awning on the right changes slightly in structure as the view shifts, lacking rigid consistency.",FALSE,none,No specific causality violations observed beyond general motion artifacts.,"The human figure walks with a sliding motion lacking leg movement, and the text on the storefront sign is rendered as illegible gibberish.","The video exhibits classic text-to-video failure modes, particularly in rendering text, human locomotion, and rigid object permanence.",
